direction,x,y,z
CENTER_SAFE,0.35,0.00,0.25
FORWARD_X+,0.50,0.00,0.25
FORWARD_X+,0.65,0.00,0.25
FORWARD_X+,0.80,0.00,0.25
FORWARD_X+,0.95,0.00,0.25
FORWARD_X+,1.10,0.00,0.25
FORWARD_X+,1.20,0.00,0.25
RIGHT_Y-,0.50,-0.20,0.25
RIGHT_Y-,0.50,-0.40,0.25
RIGHT_Y-,0.50,-0.60,0.25
RIGHT_Y-,0.50,-0.80,0.25
RIGHT_Y-,0.50,-1.00,0.25
RIGHT_Y-,0.50,-1.20,0.25
LEFT_Y+,0.50,0.20,0.25
LEFT_Y+,0.50,0.40,0.25
LEFT_Y+,0.50,0.60,0.25
LEFT_Y+,0.50,0.80,0.25
LEFT_Y+,0.50,1.00,0.25
LEFT_Y+,0.50,1.20,0.25
UP_Z+,0.35,0.00,0.35
UP_Z+,0.35,0.00,0.50
UP_Z+,0.35,0.00,0.65
UP_Z+,0.35,0.00,0.80
UP_Z+,0.35,0.00,0.95
UP_Z+,0.35,0.00,1.10
DOWN_Z-,0.35,0.00,0.20
DOWN_Z-,0.35,0.00,0.05
DOWN_Z-,0.35,0.00,-0.10
DOWN_Z-,0.35,0.00,-0.25
DOWN_Z-,0.35,0.00,-0.40
DOWN_Z-,0.35,0.00,-0.55
DIAG_FORWARD_RIGHT_DOWN,0.80,-0.50,0.05
DIAG_FORWARD_LEFT_DOWN,0.80,0.50,0.05
DIAG_FORWARD_RIGHT_UP,0.80,-0.50,0.75
DIAG_FORWARD_LEFT_UP,0.80,0.50,0.75
